,Department,Title,Course,Units,Description
10,Architecture,Postwar Modern Architecture and Theory:,48350,9.0,"This architectural history lecture course surveys the modern buildings and architectural theory of the post-World War II period. It begins with the cataclysm of WWII and the fundamental shifts it caused on the conception of modernism, technology, cities, and geo-politics. It proceeds to investigate themes such as rebuilding and reconstruction, grand modern masters such as Mies, Kahn, and Le Corbusier, the fascination with technology, megastructures and utopian thought, the need for monumentality, meaning, and regional identity, and the dissemination of modernism from corporate America to the third world. It ends with the rupture in modernism associated with the social revolutions and the rise of a post-modern architecture in the late 1960s and early 1970s. The course includes lectures, readings, and discussions to define the unique character of the postwar period, as modernism both reigned supreme, and began to be questioned. Emphasis will be placed on the relationship of buildings to the more general cultural, intellectual, and historical circumstances in which they were created. Special attention will be devoted throughout the course to the important manifestoes, theoretical and critical writings that so determined the project of modern architecture. Work for the course involves extensive reading, preparing for class discussions, and a major research paper."
11,Architecture,Anatomy and Organic Form,48357,9.0,"This course arises out of a brief exchange I had with Tom Maynes, Morphosis Architects, during the QA following a lecture he presented at CMU during the spring semester 2010. During that lecture, he had declared drawing dead for architects-this despite the fact that the most compelling explanations he made during his talk were done with rather good gestural drawings. It had seemed to me that the work he showed lacked formal order, complexity, scale and proportion (goo would be a good word for my sense of it), and I have speculated ever since that a course in classical anatomy would be helpful in addressing those weaknesses in their idiom. Closer to home, I began to think it would be important for our students because they (as all students do) will tend to pursue the formal clichs of our time"
12,Architecture,Modern Architecture and Theory,48363,9.0,None
13,Architecture,"Rediscovering Antiquity: Travelers, Archeologists & Architects in Mediterranean",48368,9.0,"The course proposes a journey in the Mediterranean, with special focus on Greece and Turkey, but also travel through time. In fact ancient cities and archeological sites, from the hills of Troy to the archeological sites of Pergamon and Ephesus, to the cities of Athens and Costantinople/Istambul, will be studied not so much as signs of the important Greek and Roman past of the region, but as the object of late Eighteenth and Nineteenth century rediscovery. The rich vestiges of the mythical past of this region were then brought to the light, in the frame of complex and adventurous missions. The eyes of scholars, travelers and artists filtered and transformed the reality of the ancient objects and places, adding to their fascination and vitality and changing the way we perceive this legacy today. At the same time though, a new political agenda, new biases and new aims were connected with the rediscovery. These in turn influenced not only the way the past of the region was explored and the way the finds were studied and exposed, but also the cultural debate in the rest of Europe, with important effects on the architecture of the main European cities."
14,Architecture,TERRA COTTA ASSEMBLIES: Cultural Expression and Climate Change,48369,9.0,"This seminar speculates that merging communication with environmental performance, a material like terra cotta can be instrumental in returning cultural expression to the building skin (Picon 2013). The ornamental nature of architectural terra cotta facades can not only move us towards a more sustainable future, but also express our milieu"
15,Architecture,Techno-Pop Architecture: Systems of Technological Inclusion,48372,9.0,Course description is forthcoming.
16,Architecture,Real Estate Design and Development,48380,6.0,"This course will provide an overview of the real estate development process and explore the interdependence of real estate development and design. The course will introduce real estate development team members, processes, and phases, including feasibility, predevelopment, construction, and marketing. The course will include a substantial financial component that will introduce students to the basic techniques of property valuation, project budgeting, pro forma analysis, sourcing of financing, and investment analysis. Students will study how market demand, tenant requirements, site constraints, zoning restrictions, and available capital affect design solutions. Course work includes classroom learning, independent reading and exercises, guest lectures, and examination of case studies. The semester?s effort culminates in the execution of a team development project based on a current Pittsburgh development project. Teams will complete a basic market analysis, program evaluation, schematic design creation, project cost estimation, pro forma analysis, and evaluation of financial feasibility. Development practitioners will provide a critique of each team?s project to offer ?real world? guidance on student schematic designs and feasibility analysis prior to the final completion of the project."
17,Architecture,Issues of Practice,48381,6.0,TBA
18,Architecture,Ethics and Decision Making in Architecture,48383,6.0,Course description coming soon.
19,Architecture,Advanced Synthesis Options Studio II:,48410,18.0,Course Description coming soon.
20,Architecture,"American Regions & Regionalism: An Architectural History of Place, Time, and Cul",48440,9.0,"Despite the leveling forces of mass culture and globalization, the geographic and social diversity of the U.S. has created distinctive regional mosaics of landscape and architecture. Say New England and images of English Pilgrims, town greens with white framed churches, and industrial mill villages may come to mind. The Southwest conjures different images, perhaps of adobe pueblos, Spanish friars, arid ranches, and the color turquoise. The built environment of the Midwest, the California coast, the Mississippi Delta, and many places in between reflect particular regional identities that have been both unconsciously and consciously created over time. This course examines the historical development of regional patterns in the American built environment. It investigates how and why a regions architectural identity evolved in the ways that it did. To what degree is place something to respond to, to interact with, and to what degree is place something that is created? Our focus will be primarily pre-20th century when the forces of vernacular traditions were stronger, we will also examine more recent trends of regionalism as an aesthetic choice and a theoretical stance."
21,Architecture,History of Asian Architecture,48442,9.0,"The development of Indian, Chinese, Korean and Japanese urban space and architecture was guided by both originality and assimilation. This course is intended to serve as an introduction to the evolution of urban spaces and the function of the architecture within them. It is organized chronologically and will examine the impact of indigenous philosophical principles as well as Hindu, Buddhist and Confucian concepts on the organization of villages, capital cities, and religious centers. The course will begin in the Indus Valley. We will examine Indian Hindu and Buddhist cave monasteries as well as freestanding Hindu temples and identify the salient architectural forms that identify each type. We will then move to China where the earliest villages were arranged according to ideas about nature and the organizing system of fengshui. We will then move through urban organization and Buddhist temples in Korea to Japan where the Chinese model was adopted for early Japanese capitals. Chinese, Korean and Japanese religious centers will be studied as examples of both indigenous ideas and the adoption of Buddhist beliefs and temple organization. The examination of the Japanese warrior culture will include castles, new ideas in residential architecture, the Pleasure Quarters, and retirement villas. Contemporary architecture will be addressed through group projects that will examine specific structures from an Asian country of their choice. Each group will situate the modern buildings within the cultural and historic circumstances that led to their creation and propose ways that modern building design could be used in their own future work"
22,Architecture,The Depth of Surface,48470,9.0,"Lamination is the process of gluing wood together along the edge or face of a plank. There is unlimited variety in the ways to do this and to generate pattern in the process. This course will prescribe a few basic ways to laminate following standard rules of wood working and then introduce the possibilities of pattern generation. Generally lamination is unidirectional, however, in this class we will introduce ways to achieve cross directional patterning and the use of inlay to elaborate on the idea of patterning. Projects will be visual and sculptural statements. Their function will be limited and will not be furniture. Each exercise will present a series of basic wood working operations, which, when repeated and recombined will become products of compelling visual character. As visual idea statements you will be asked to experiment, invent and explore and take these standard operations in new directions. As visual idea statements the greatest clarity of vision will be achieved through careful construction."
23,Architecture,Pre-Thesis,48497,3.0,"The primary goal of this mini is to help students formulate a robust proposal for the 5th year Thesis, but it could be used to create a proposal for any grant, scholarship or academic research project. A series of weekly workshops, readings, discussions, and guest lectures will help students move from wide-open initial ideas about issues they are curious about and seek to explore, to the development of a rigorous research process that builds on existing knowledge and attempts to develop new ideas and advances the discipline. The class will explore the difference between design and research in architecture, how different research methods and modes of representation can be leveraged, and how concepts of disciplinarity and project can focus a topic. Students will begin to identify precedents, key readings and a research bibliography, an overview of the general topic they will research in depth, a detailed plan for a years worth of independent thesis work, and a well-defined end-product, likely a design proposal. An important task will be to identify advisors who can support, guide, and critique your work, who can act as intellectual collaborators as much as evaluators. This course (or an equivalent approved by the Thesis coordinator) is a pre-requisite for doing a year-long Thesis or semester-long Independent Project in 5th year studio."
24,Architecture,Advanced Synthesis Options Studio IV,48510,18.0,Course description coming soon.
25,Architecture,Architecture Design Studio: Thesis II/ Independent Project,48519,VAR,"Thesis is a year-long, independently defined research and design project that takes the place of upper level option studios. Thesis is an opportunity to develop skills, thoughts, and habits essential for future success, including mental discipline; independence of mind and judgment; working with advisors; the capacity to focus and pursue a subject in depth and over an extended time; the ability to design and execute a complex project; the skills of analysis, synthesis, and clear writing; and the self-confidence that grows from mastering a difficult challenge. Thesis topics and research agendas are generated by the student, but must be determined in collaboration with an advising team, and approved by a Thesis Coordinator. The School seeks to encourage an expansive range of rigorous and provocative inquiry as a culminating experience for the B.Arch education, including work that speculates, invents, or improves on existing ideas, practices, or systems through research and design; work that challenges the boundaries of the discipline and the profession, and moves beyond mere practice or solution-based work; worj that engages with open-ended and generalizable ideas, as much as with specific situations; work that projects or imagines a better future and an improved world; work that leads to the new knowledge, ideas, understanding, or paradigms. Acceptance into Thesis is dependent on passing the 48-497 ?Thesis Prep? course or its pre-approved equivalent, and submitting a rigorous thesis proposal to the Thesis Coordinator in late August, before the begin of classes."
26,Architecture,Design Fabrication,48545,9.0,"Using project-driven learning as its method, Making Intelligence will provide an immersive (re)introduction to the fundamentals of design fabrication by providing an applied overview of various methods of synthesizing ?traditional? and digital modes of making. Intended primarily as a portal course for graduate students that plan to use the School of Architecture?s digital fabrication lab, this course will give students the opportunity to learn how digital equipment works by discovering machine limitations and possibilities through design fabrication while also expanding on their understanding of the design development process. Students will apply their new knowledge by using the 3-axis router, 3D printing, laser cutters, and the vacuum former for the development of two highly-refined projects."
27,Architecture,Introduction to Architectural Robotics,48555,9.0,"Introduction to Architectural Robotics is an entry-level course that exposes students to various aspects of industrial robots and automated fabrication including hands-on programming, workflow simulation, sensors, fixtures, and the tactics needed for designing flexible automation. This course will empower the student with the fundamental software and hardware knowledge necessary to do advanced fabrication in subsequent courses. Structured, competency-building exercises within the lab environment will be the method used to develop tacit knowledge of the equipment."
28,Architecture,GIS/CAFM,48569,9.0,"A Geographic Information System (GIS) integrates displays, edits, analyzes, and shares spatial data for informing decision making. Industries benefiting from GIS include architecture, business, city planning, defense and intelligence, education, government, health and human services, natural resources, public safety, transportation, utilities and communications, and urban planning/design. GIS topics include map design and outputs, geodatabases, downloading and importing spatial and attribute data, digitizing, geocoding, and advanced spatial, 3D, and network analysis. Other topics such as raster-vector integration and web-based GIS will also be covered. Facilities management is the practice of coordinating the physical workplace with the people and work of the organization. Computer Aided Facilities Management (CAFM) integrates software tools to streamline operations, boost productivity and develop strategic planning goals for an organization. CAFM topics include space management, asset management, building operations, emergency preparedness, environmental health and safety, telecommunications, and real property and lease management. This course prepares students to understand, maintain, and manipulate spatial and organizational data using world leading software applications. By the end of the course, students will have sufficient background to identify spatial characteristics of diverse application areas enabling them to integrate spatial thinking and analysis into their academic research and careers."
29,Architecture,Architecture Lighting Design,48587,9.0,"Through hands-on exploration in the light lab, lecture and discussion, students will develop a design process for lighting people and architecture. Topics will include"
30,Architecture,Undergraduate Independent Study,48599,3-9,No course description provided.
31,Architecture,ASO Studio General (Spring),48601,18.0,course description coming soon
32,Architecture,Structures/Statics,48637,9.0,TBD
33,Architecture,M.Arch Studio: Integration II,48640,18.0,TBD
34,Architecture,M.Arch Pre-Thesis,48644,3.0,TBD
35,Architecture,Ethics and Decision Making in Architecture,48648,6.0,TBA
36,Architecture,Issues of Practice,48649,6.0,TBA
37,Architecture,Real Estate Design and Development,48658,VAR,TBD
38,Architecture,Advanced Synthesis Options Studio II: M.Arch,48660,18.0,TBA
39,Architecture,Hines Competition,48677,3.0,TBA
40,Architecture,Shaping Daylight,48692,9.0,"Daylight is one of the critical aspects of valued architectural spaces, influencing ambiance, the overall atmosphere, and occupant perception, whether positively or negatively. Additionally, when it comes to buildings skin design, the control of radiation and exploitation of daylight is an effective way to reduce the need for electric lighting and improve the overall energy consumption of the building. The desire to bring natural light into spaces is not merely to support tasks; it is also essential to human comfort and wellbeing; thus, it becomes critical in design to not only shape daylight to provide a character to a space but also evaluate its performance. This seminar will introduce participants computer-based simulations to perform quantitative analyses of daylight as well as Immersive Virtual Reality tools to assess the qualitative aspects of daylight in architectural spaces. Formal instructions and hands-on exercises will prepare students to apply the concepts learnt to a design project of their choosing."
41,Architecture,Practicum,48700,0-36,None
42,Architecture,Master's Project,48703,18-36,None
43,Architecture,Urban Design Studio II,48706,18.0,"The Urban Systems Studio builds on the knowledge and skills gained from the first MUD design studio by increasing the complexity of inquiry to that of an urban district or the city as a whole. The studio introduces design methods and processes for working with larger and holistic urban systems and with inter-disciplinary agencies and organizations as basic design components. and how they are integrated to create place as well as vision. From this perspective, studio projects concentrate on sites within the Pittsburgh area with a focus on integrating multiple systems, which are often in conflict, and the variety of scales inherent of cities"
44,Architecture,Urban Design Studio IV,48708,18.0,No course description provided.
45,Architecture,Paradigms of Research in Architecture,48711,VAR,"This course is both an introduction to important models and methods of academic research particularly as they are related to building design issues and a forum for intellectual curiosity. During the initial ten weeks of the semester, the course presents an overview of the field and covers several models of research as they relate to the building design. These will include models of natural sciences, social sciences, sciences of the artificial, engineering and aesthetics in building design. During the final five weeks of the semester faculty both CFA and CIT will be invited to make presentations about their areas of research and the methods they use. These presentations correspond in many respect to those covered in lectures."
46,Architecture,Issues of Global Urbanization,48712,3-9,"Within our lifetime, the world population will swell to 10 billion citizens, 75 of which will live in cities. The seminar is an investigation into the future of cities focusing on three existential challenges of our urban age"
47,Architecture,MUD Urban Ecology,48713,9.0,"The course will present the key principles of urban ecology, with a focus on those that are especially relevant to urban design. It will address the causes and consequences of biological patterns and processes in urban environments and illustrate how ecological principles can be used in planning and design projects. The course will introduce ways to examine the implications of urban design decisions on the health and sustainability of urban habitats. Topics in the course include the concept of urban ecosystems, ecosystem functions in cities, climate change, natural processes and regenerative cycles."
48,Architecture,MSCD Pre-Thesis 1,48715,6.0,No course description provided.
49,Architecture,"Planning by Design: Campuses, Waterfronts, Districts, and Cities",48720,VAR,"The focus of this seminar is the connection between design decisions and urban development, and how a better understanding of this relationship will contribute to knowledge, policy and practice of a robust and forward-looking contemporary urbanism. The seminar draws on the instructors research, teaching, and practice including current projects, focusing on urban design and planning current projects relevant to international, North American, and Pittsburgh perspectives. The course is divided into three units"
50,Architecture,Building Controls and Diagnostics,48721,12.0,"This course introduces the concepts and methods of building diagnostics. It focuses on the empirical evaluation of the built environment (building components and systems, interactions between building, occupants and environmental conditions) in view of multiple performance criteria (thermal, visual and acoustic performance). Field measurement and assessment techniques will be introduced. The empirical methods of building analysis are commonly used to"
51,Architecture,Building Performance Modeling,48722,12.0,This course introduces fundamentals and computational methods in building performance modeling. Topics include
52,Architecture,Performance of Advanced Building Systems,48723,VAR,"Advanced Building Systems Integration This is a graduate level course that focuses on commercial building performance achieved through systems integration. In lectures, class discussion, and student projects, we will explore the topic of building performance, the design and technical strategies that support sustainable high performance; the design, construction and operation processes that are likely to produce sustainable high(er) performance buildings; and the current state of theory versus practice. The course assumes a basic understanding of buildings impact on the environment, of building design and materials performance, and the calculation of building heating and cooling loads. On that foundation, we will examine the concept of systems integration and how this approach can sustain the occupants and the environment far better than conventional design, construction and operation. Although US climate, building conventions and codes will be our reference point, we will broaden our discussion by using examples and data from many other countries. An essential aspect of our exploration will be identifying successful built projects and examining the factors that may have allowed those projects to succeed. If this course meets its objectives, students who successfully complete the material will understand and be able to discuss sustainable building performance characteristics, will understand the systems integration approach and how it differs from conventional approaches to building design, and will know how to positively affect architectural and engineering decisions to support the design, construction and operation of sustainable high performance buildings."
53,Architecture,Master's Independent Study,48736,0-99,"This course is for students who wish to pursue work independent of all other courses offered, but consistent with the direction of the Masters Programs. Prerequisites"
54,Architecture,Detailing Architecture,48737,9.0,"This course looks toward the role of the architectural detail in the formation and thematic development of a work of architecture. Students interested in this course need to have willingness to explore and research building details, speculate on their appropriateness and document through analytical drawing their intent and assembly. The course will be composed of a weekly lecture and weekly discussion of research and drawing development made by each of the students."
55,Architecture,Real Estate Finance & Investing Seminar,48741,3.0,"Real Estate Investment is a broad field requiring both operational and financial expertise. It is a deeply local business that requires detailed knowledge of the physical property, market dynamics, and investment participants (debt equity providers). Real Estate is an Alternative Investment Product that is secured by a physical asset. As such, the industry has its own institutional features and investment structures. This workshop aims to provide a broad overview of the real estate field directly applied to investment analysis. Topics will include"
56,Architecture,Design Fabrication,48745,9.0,TBD.
57,Architecture,Zero Energy Housing,48752,9.0,"Net zero energy construction has gone from concept to policy in just a few years, but built examples are still rare. What does it take, technically, to achieve net zero and what else, beyond technical requirements, advances or impedes a net zero future? 48-752 is a graduate level class that explores net zero energy design and construction in the residential sector. Through case studies and applied projects, we will explore what it takes to achieve quantitative net zero in residential buildings while maintaining occupant comfort and satisfaction. In locations where net zero is now required, we will examine the results of those requirements. At the outset, we will discuss specific definitions of a net-zero building and the implications of each definition. Through case studies, lectures, field trips, outside reading and assignments, we will examine how a net-zero building is achieved, including the use of renewable energy to achieve the net-zero balance. We will apply lessons learned from metered examples to real sites and to new design or renovation projects in Pittsburgh and will use simulation software to test and quantify the impact of our design/renovation strategies. We will also compare our strategies to requirements in US codes and rating systems such as IECC-2012 and LEED for Homes to evaluate their impact in moving the US residential sector toward much higher performance buildings. Although our focus is residential, many of the concepts and strategies we cover have parallels in the commercial sector. Students who enroll in the class must know how to calculate without software heat loss and heat gain for a small building. You are also expected to have a fundamental understanding of residential design and construction, plan reading and mechanical systems; US residential materials and construction methods for net zero will be covered in class."
58,Architecture,Introduction to Architectural Robotics,48755,9.0,TBD.
59,Architecture,Project Planning and Reporting,48756,VAR,"The aim of this course is to teach advanced project scheduling and familiarize the students with the reporting nuances as practiced in the industry such as change management, resource charts, and project status reports. In this pursuit the objectives of this course are"
60,Architecture,Value Based Design Introduction,48759,VAR,"Whether designing a building, an infrastructure or an urban space, design can add value. What features create Design Added Value (DAV) in a capital investment projects? What is their value? And how to assess the design value for different stakeholders? These type of questions will be addressed in this course through a series of case studies pertaining to building, urban and infrastructure design. Students, also, will learn about different evaluation methods like Cost Benefit Analysis (CBA), Life Cycle Assessment (LCA) Triple Bottom Line (TBL), and benchmarking. At the end of this course the students will be able to identify DAV features, identify different stakeholders of a capital project, preform a first order costs and benefits estimation, compare and contrast alternative DAV features, and assess reliability of existing capital investment analysis."
61,Architecture,Thesis/Project,48769,VAR,to be determined
62,Architecture,Introduction to Programming and Data Structures,48770,12.0,"This course is intended to be a gentle but dense introduction to computer programming and program design for students without prior programming experience. The lectures and lab sessions are coupled to form an intensive hands-on 6 hours of instructions and practice per week. The course is divided into two parts, each half a semester in length. The first part covers concepts of object-oriented programming including basic data types and their operators, I/O, control structures (selection, loops), classes (methods and fields), files, arrays and strings. The second part introduces data structures and algorithms (e.g., linked lists, stacks, queues, trees, and graphs as well as basic sorting and searching algorithms. The course is based on the Java programming language. Prerequisite"
63,Architecture,Emerging Media: Computing Urbanism and Data Fluency,48773,9.0,"This course will deploy computation as a foundational instrument in design analysis and development, exploring procedure as a medium for design. Drawing from precedents, contemporary discourse; local planning efforts; and design tools including ArcGIS, Rhino3D, and Grasshopper; students will produce an urban design project which engages urban morphology, network configuration, and public space at scales ranging from the human to the region. Instruction will primarily use Grasshopper as an introductory tool to deploy computation and analysis within urban design. Students will develop skills in mapping, simulation, and form generation. Working with data will be central to the course"
64,Architecture,MAAD Advanced Synthesis Options Studio II,48776,18.0,TBD
65,Architecture,MAAD Pro-seminar II,48778,VAR,TBD
66,Architecture,MAAD Design Research Project Prep,48780,3.0,TBD
67,Architecture,Spatial Analysis in Infrastructure Planning,48781,12.0,"A Geographic Information System (GIS) integrates displays, edits, analyzes, and shares spatial data for informing decision making. Industries benefiting from GIS include architecture, business, city planning, defense and intelligence, education, government, health and human services, natural resources, public safety, transportation, utilities and communications, and urban planning/design. GIS topics include map design and outputs, geodatabases, downloading and importing spatial and attribute data, digitizing, geocoding, and advanced spatial, 3D, and network analysis. Other topics such as raster-vector integration and web-based GIS will also be covered. Facilities management is the practice of coordinating the physical workplace with the people and work of the organization. Computer Aided Facilities Management (CAFM) integrates software tools to streamline operations, boost productivity and develop strategic planning goals for an organization. CAFM topics include space management, asset management, building operations, emergency preparedness, environmental health and safety, telecommunications, and real property and lease management. This course prepares students to understand, maintain, and manipulate spatial and organizational data using world leading software applications. By the end of the course, students will have sufficient background to identify spatial characteristics of diverse application areas enabling them to integrate spatial thinking and analysis into their academic research and careers."
68,Architecture,MAAD Research by Design Project,48785,18.0,TBA
69,Architecture,M.S. Project,48791,0-99,This course is for students to undertake a major project in which knowledge gained in the core courses is applied to problems relevant to the field of architecture. Course must be taken under the advice of a faculty member teaching in the MSc-Ph.D. Programs. Master of Science Students who perform satisfactorily in the Graduate Research Seminar course are permitted to take the Masters project course. Prerequisite
70,Architecture,Ph.D. Independent Study,48792,0-99,"This course is for students who wish to pursue work independent of all other courses offered, but consistent with the direction of the Ph.D. Programs. Prerequisites"
71,Architecture,Ph.D. Thesis,48793,0-99,This course is for Ph.D. students who have successfully completed their qualifying exams and are working on their dissertation work. Instructo(s)
72,Architecture,"LEED, Green Design and Building Rating in Global Context",48795,6.0,"48795, LEED, Green Design and Building Rating in Global Context is a graduate level mini-course that examines building rating system content, strategies, goals and outcomes. The course is organized within the framework of the US Green Building Councils Leadership in Energy and Environmental Design (LEED) Rating Systems, which contains rating system prerequisites and credits in the following categories"
73,Architecture,PhD Dissertation Defense,48797,"5.0,36",None
74,Art,Study Abroad,60051,0.0,"Art students studying abroad through other institutions are registered for this zero-unit course. Registration for 60-051 suspends Carnegie Mellon University tuition. Prior to being enrolled for study abroad, the student must have completed an Office of International Education Study Abroad Transfer Credit (SATC) Form, which must be signed by the Assistant Head of the School of Art."
75,Art,Critical Theory in Art II,60106,9.0,"This is the second part of a year-long course intended to introduce students to key readings in the history of artistic theory, studied in relation with the concurrent development of Western and non-Western art. It is devoted to the period ranging from 1900 to 1960 and covers major artwork and theories spanning from Cubism and the historical avant-garde to totalitarian art and 1950s artistic research worldwide. The course is structured as a seminar discussion of theoretical texts, integrated with lectures. Readings will introduce students to the historical and critical background of the themes discussed in class and familiarize them with the varied methodologies and argumentative styles proper to art criticism, critical theory and philosophy. Open to first-year students in in the School of Art, or by permission of the instructor."
76,Art,IDeATe: Introduction to 3D Animation Pipeline,60125,12.0,This class will explore computer animation as it pertains to a professional animation production pipeline. The course is designed to give students exposure to key job descriptions that align to the animation industry. Topics covered include
77,Art,3D Media Studio II:,60133,10.0,An introduction to three-dimensional form and fabrication processes. Various methods are explored through projects covering a broad range of sculptural concerns. Each section of 3D Media Studio II has a different topic
78,Art,Black and White Photography I,60141,10.0,"This course will teach you the basic craft of photography from exposure of the negative through darkroom developing and printing to print finishing and presentation. Content includes student presentations, class discussions, shooting assignments, darkroom sessions and class critiques. We will concentrate not only on the technical aspects of photography, but also the aesthetics of seeing with a camera. The course concentrates on photography as a fine art -- what is unique to it and the concerns that are shared with other visual arts, such as composition, tonal values, etc. and aims to equip students with an understanding of the formal issues and the expressive potentials of the medium. Description addendum for section B, REMOTE ONLY"
79,Art,Digital Photography I,60142,10.0,"This course explores digital photography and digital printing methods. By semesters end students will have knowledge of contemporary trends in photography, construction (and deconstruction) of photographic meaning, aesthetic choices, and the use of color. Students will learn how digital cameras work, proper digital workflow, RAW file handling, color management and Adobe Photoshop. Through the combination of the practical and theoretical, students will better define their individual voices as photographers. No prerequisites. Digital camera required."
80,Art,Drawing for Non-Majors,60157,10.0,"This course focuses on the language, materials and concepts of drawing as foundation for all the visual arts. Initial emphasis on the development of perceptual, analytical, and structural drawing skills with increasing attention to idea development. Exposure to methods of creating pictorial and illusionistic space; recording the external world of light and form; and making visible the internal world of the heart, the mind, the soul. Experience with line, texture, tone, shape and mass; in a variety of wet and dry drawing media."
